heading,aliases,domain,definition,advantages,disadvantages,applications,code,extras
Adjacency List,"['Neighbor List', 'Vertex-Edge Adjacency Matrix', 'Linked Representation']",Data Structures,"A data structure used to represent a graph, where each vertex is associated with a list of its adjacent vertices. This representation allows for efficient insertion and deletion of edges between vertices.","['Efficient storage and retrieval of edge information', 'Simple implementation and understanding', 'Fast lookup and traversal of adjacent vertices', 'Supports dynamic graph updates', 'Flexible data structure for various graph algorithms']","['Memory-intensive for large graphs due to repeated vertex representations', 'Difficult to visualize and manipulate the graph structure', 'Limited support for certain graph operations, such as finding shortest paths', 'Can be slow for sparse graphs with many empty adjacency lists', 'Not suitable for very large graphs due to memory constraints']","['Network analysis and visualization in social networks, web graphs, or electrical circuits', 'Finding connected components and strongly connected components in a graph', ""Implementing graph algorithms such as Dijkstra's algorithm and Prim's algorithm"", 'Representing and manipulating road maps and traffic patterns', 'Scheduling and resource allocation problems with dependencies']","typedef struct Node { int data; struct Node* next; } Node;

typedef struct Graph { int numVertices; Node** adjacencyLists; } Graph;

Graph createGraph(int numVertices) {
	Graph graph = (Graph)malloc(sizeof(Graph));
	graph.numVertices = numVertices;
	graph.adjacencyLists = (Node**)calloc(numVertices, sizeof(Node*));
	for (int i = 0; i < numVertices; i++) graph.adjacencyLists[i] = NULL;
	return graph;
}

void addEdge(Graph graph, int src, int dest) {
	Node* newNode = (Node*)malloc(sizeof(Node));
	newNode->data = dest;
	newNode->next = graph.adjacencyLists[src];
	graph.adjacencyLists[src] = newNode;
}

void printGraph(Graph graph) {
	for (int i = 0; i < graph.numVertices; i++) {
		printf(""Vertex %d: "", i);
		Node* temp = graph.adjacencyLists[i];
		while (temp != NULL) {
			printf(""%d ->","['Use of adjacency lists is particularly useful in sparse graphs, where the number of edges is much less than the total number of possible edges.', 'In practice, adjacency lists are often used alongside other data structures, such as an array or map, to efficiently store and retrieve vertex information.', 'The choice between using an array-based representation and an adjacency list representation depends on the specific application and the properties of the graph.', 'In many cases, it is beneficial to use both an adjacency matrix and an adjacency list representation for a graph, depending on the operation being performed.']"
Depth First Search,"['DFS traversal', 'Pre-order traversal', 'Depth-first traversal']",Algorithms,A graph traversal technique that visits a node and then explores as far as possible along each of its edges before backtracking.,"['Efficient for small graphs or trees with a large number of edges', 'Can be used to detect cycles in a graph', 'Uses less memory compared to Breadth-First Search', 'Suitable for searching a graph that is not too dense', 'Simple to implement and understand', 'Can handle very large graphs if implemented correctly']","['Fails to find the shortest path between two nodes', 'May get stuck in an infinite loop if the graph has cycles', 'Not suitable for graphs with a very high number of edges', 'Does not guarantee to visit all nodes in the graph', 'Can be slow on large graphs due to backtracking', 'May not find the optimal solution', 'Depends heavily on the order of node visits']","['Finding connected components in a graph', 'Detecting strongly connected components in a graph', 'Topological sorting of a directed acyclic graph (DAG)', 'Solving mazes and puzzles', 'Finding minimum spanning tree in a graph', 'Testing whether a graph is bipartite or not']","int visited[100];
int dfs(int v, int graph[100][100], int n)
{
visited[v] = 1;
for (int i = 0; i < n; i++)
{
if (graph[v][i] == 1 && !visited[i])
{
if (dfs(i, graph, n) == -1)
return -1;
}
}
return 1;
}
int main()
{
int n = 5; // number of vertices
int graph[100][100]; // adjacency matrix representation
// Initialize graph and call dfs function from a starting vertex
}",[]
Breadth First Search,"['BFS', 'Graph Traversal Algorithm', 'Level Order Traversal']",Algorithms,"A Breadth-First Search (BFS) is a graph traversal algorithm that explores all the neighbor nodes at the present depth prior to moving on to nodes at the next depth level. It starts from a given source node and traverses all of its immediate neighbors before visiting their neighbors, and so on.","['Efficient in finding the shortest path between two nodes', 'Visits each node exactly once', 'Suitable for graphs with a large number of nodes', 'Easy to implement', 'Fast for sparse graphs', 'Can be used for graph traversal in various applications']","['Not suitable for very large graphs due to high memory requirements', 'Time complexity is O(|E| + |V|) in the worst case', 'May not perform well on graphs with a large number of edges', 'Space complexity is O(|V|) due to the need to store visited nodes', 'Not suitable for finding the minimum spanning tree']","['Web crawlers use BFS for traversing web pages', 'Social network analysis uses BFS to find close friends', 'Network topology discovery uses BFS to discover adjacent devices', 'Finding connected components in a graph uses BFS', 'Shortest path problems such as finding the minimum distance between two nodes']","#include <stdio.h>#include <stdlib.h>typedef struct Node { int data; struct Node* next;} Node;

void BFS(Node* root) {
    if (root == NULL) return;

    // Create a queue to hold nodes and enqueue the root node
    Node** q = (Node**)malloc(100 * sizeof(Node*));
    int front = 0, rear = 1; q[front] = root;

    while (front != rear) {
        // Dequeue a node from the queue
        Node* current_node = q[front]; front++; 

        // Process the dequeued node (print its data)
        printf(""%d\n"", current_node->data);

        // Enqueue all adjacent nodes to the dequeued node
        if (current_node->next != NULL) {
            Node* next_node = current_node->next; q[rear] = next_node;
            rear++;
        }
    }
}

// Create a sample graph and call BFS on it
Node* createNode(int data) { Node* node = (Node*)malloc(sizeof(Node)); node->data = data; return node;}

int main() {
    Node* root = createNode(0);
    root->next = createNode(1); root->next->next = createNode(2);
    root->next->next->next = createNode(3);

    BFS(root);
    return 0;
}",[]
Topological Sort,"['Ordering of Directed Acyclic Graphs', 'Postorder Traversal in DAG', 'Linearization of Partially Ordered Sets']",Algorithms,"A topological sort is a linear ordering of vertices in a directed acyclic graph (DAG) such that for every edge (u,v), vertex u comes before v in the ordering.","['Provides a valid order for tasks with dependencies', 'Can be used to schedule jobs or tasks', 'Helps in resolving conflicts between parallel activities', 'Easy to implement using depth-first search (DFS)', 'Supports efficient implementation on large graphs']","['Not suitable for cyclic graphs due to infinite loops', 'May not preserve the original order of vertices with no edges', 'Requires additional space for storing the ordering', 'May not work efficiently for very large graphs']","['Scheduling tasks or jobs in a workflow management system', 'Linearizing partially ordered sets (POSets) in software development', 'Resolving dependencies between modules in a program', 'Topological analysis of biological networks', 'Ordering vertices in a knowledge graph for search engines']","#include <stdio.h>

// Define the structure for a directed graph edge
struct Edge {
    int v;
    int next;
};

// Function to perform topological sort using DFS
void dfs(int u, int* visited, int* ordering, int* index)
{
    visited[u] = 1;
    // Visit all adjacent vertices of 'u'
    for (int i = head[u]; i >= 0; i = edges[i].next) {
        int v = edges[i].v;
        if (!visited[v])
            dfs(v, visited, ordering, index);
    }
    // Add vertex to the result list
    *index = (*index + 1) % MAX_ORDERING;
    ordering[*index] = u;
}

// Function to initialize graph edges and perform topological sort
void initGraph(int numVertices, int** head, int* ordering, int MAX_ORDERING)
{
    // Initialize visited array and result list
    for (int i = 0; i < numVertices; ++i) {
        visited[i] = 0;
        head[i] = -1;
    }

    // Add edges to the graph
    for (int i = 0; i < numEdges; ++i) {
        edges[i].v = edgeDest[i];
        if (head[edgeSrc[i]] == -1)
            head[edgeSrc[i]] = i;
    }

    // Perform DFS to get the ordering
    for (int i = 0; i < numVertices && *index < MAX_ORDERING; ++i) {
        if (!visited[i])
            dfs(i, visited, ordering, &index);
    }
}

// Function to print the topological order
void printOrdering(int* ordering, int MAX_ORDERING)
{
    for (int i = 0; i < *index; ++i)
        printf(""%d\n"", ordering[i]);
}",[]
Dijkstra Algorithm,"['Shortest Path Algorithm', 'Minimum Distance Algorithm', 'Graph Search Algorithm']",Algorithms,"The Dijkstra algorithm is a graph search algorithm that finds the shortest path between nodes in a graph. It works by maintaining a priority queue of nodes, where the priority of each node is its minimum distance from the starting node. The algorithm repeatedly extracts the node with the minimum priority and updates the distances to its neighbors.","['Deterministic and guaranteed to find the shortest path', 'Suitable for sparse graphs', 'Easy to implement and understand', 'Can be parallelized for large graphs', 'Adaptable to different graph structures', 'Provides a clear ordering of nodes by distance', 'Efficient in terms of time complexity (O(|E| + |V|log|V|))', 'Can be modified for multiple-source shortest paths', 'Supports edge weights and non-negative distances', 'Able to handle graphs with negative weight edges']","['Sensitive to initial node choice', 'Not suitable for very large or dense graphs', 'May get stuck in local optima if not implemented carefully', 'Does not take into account other optimization criteria (e.g., fewest edges)', 'Not directly applicable to non-acyclic graph structures', 'Requires careful handling of edge weights and distance updates', 'Assumes the existence of a shortest path between nodes', 'Might require a large amount of memory for complex graphs']","['Network routing protocols (e.g., OSPF, RIP)', 'Traffic flow optimization in transportation networks', 'Shortest path calculation in road networks or maps', 'Resource allocation and scheduling problems', 'Wireless sensor network localization', 'Distance-based clustering algorithms (e.g., DBSCAN)', 'Computing the shortest path between two points in a map', 'Route planning and trip suggestion services', 'Vehicle routing problem solvers', 'Time-dependent shortest path calculation']","int main() {
	struct edge { int v, w; } edges[] = {{0, 5}, {1, -3}, {2, 7}, {3, 10}};
	param int V = 4, E = sizeof(edges) / sizeof(edges[0]);
	param int dist[V];
	for (int i = 0; i < V; ++i) {
		if(i == 0)
dist[i] = 0;
		else
			dist[i] = INT_MAX;
	}
	struct edge temp = {0, -1};
	for (int i = 0; i < V-1; ++i) {
		temp.w = INT_MAX;
		for (int j = 0; j < E; ++j)
			if(edges[j].w > temp.w && edges[j].v == i+1)
				emp = edges[j];
		edges[i].w += dist[i];
	}
	for (int i = 0; i < V; ++i) 
	printf(""Vertex %d : %d\n"", i, dist[i]);
	return 0;
}",[]
Bellman-Ford Algorithm,"['Bellman-Ford', 'Successor Queue', 'Distance Labels']",Algorithms,"The Bellman-Ford algorithm is a graph search algorithm that finds the shortest path from a source vertex to all other vertices in a weighted graph. It works by maintaining a distance label for each vertex, which represents the minimum distance from the source vertex to that vertex.","['Handles negative weight edges', 'Can detect negative cycles', 'Works with any type of edge weights (integers or floats)', 'Finds shortest paths in weighted graphs', 'Has a time complexity of O(VE), where V is the number of vertices and E is the number of edges', 'Is suitable for graphs with few edges', 'Can handle disconnected graphs']","[""Not as efficient as Dijkstra's algorithm for positive weight edges"", 'Has a high memory usage due to distance labels', 'Does not work well with very large graphs', 'Has a complex implementation due to handling of negative cycles', 'Requires multiple passes through the graph', 'Finds shortest paths, but not necessarily optimal paths']","['Network analysis and optimization', 'Shortest path problems in logistics and transportation', 'Resource allocation and scheduling', 'Traffic management and routing', 'Scientific computing and numerical simulations', 'Predictive modeling and forecasting', 'Web search engines and link analysis']","void bellman_ford(int V, int E, int* graph[], int source) {
int dist[V];
for (int i = 0; i < V; ++i)
dist[i] = INT_MAX;
dist[source] = 0;
for (int v = 0; v < V - 1; ++v)
{
for (int u = 0; u < V; ++u)
if (dist[u] != INT_MAX && graph[u][v] != 0)
{
current_distance = dist[u] + graph[u][v];
if (current_distance < dist[v])
dist[v] = current_distance;
}
}
for (int u = 0; u < V; ++u)
{
current_distance = -1;
for (int v = 0; v < V; ++v)
if (graph[u][v] != 0 && dist[u] + graph[u][v] < dist[v])
{
current_distance = dist[u] + graph[u][v];
dist[v] = current_distance;
}
if (current_distance == -1) return; // Negative cycle detected
}
// Print distances
printf(""Vertex\tDistance from source\n"");
for (int i = 0; i < V; ++i)
printf(""%d\t%d\n"", i, dist[i]);}","['The Bellman-Ford algorithm can be used to detect negative cycles in a graph.', 'Negative cycles can cause problems in certain applications, such as resource allocation and scheduling.', 'To handle very large graphs, the algorithm can be modified to use a priority queue instead of an array-based distance label data structure.', 'The algorithm has been implemented in various programming languages, including C++, Java, and Python.']"
Floyd Warshall Algorithm,"['Shortest Path Problem', 'Dynamic Programming for Shortest Paths', 'Weighted Graphs']",Algorithms,"The Floyd-Warshall algorithm is an efficient algorithm for finding the shortest paths in a weighted, directed graph with positive or negative edge weights. It works by iteratively improving an estimate of the shortest path between each pair of nodes until the estimate is optimal.","['Finds shortest paths in O(n^3) time complexity', 'Works with both positive and negative weight edges', 'Handles graphs with cycles', 'Can be used for finding minimum spanning trees', 'Efficient for dense graphs', 'Simple to implement', 'Scalable for large graphs']","['Not suitable for very large graphs due to high time complexity', 'Does not handle graphs with negative weight cycles', 'Requires a lot of memory for large graphs', 'May not be efficient for sparse graphs', 'Time complexity can be high for some cases', 'May require additional preprocessing for some applications']","['Route planning in transportation networks', 'Network optimization problems', ""Dijkstra's algorithm extension for negative weights"", 'Circuits and shortest paths in electrical engineering', 'Traffic management systems', 'Scheduling problems in operations research', 'Minimum spanning tree problem', 'Shortest path problems in logistics', 'Optimization of supply chains']","int main() {
	int V = 4; // number of vertices
	int INF = 999; // infinity
	int dist[5][5] = {{0,10,INF,INF,INF},{INF,0,35,3,INF},{INF,INF,0,28,IFN},{INF,INF,INF,0,16},{INF,INF,INF,INF,0}};
	for (int k = 0; k < V; k++)
	{
		for (int i = 0; i < V; i++)
		{
			for (int j = 0; j < V; j++)
			{
				if ((dist[i][k] + dist[k][j]) < dist[i][j])
				{dist[i][j] = dist[i][k] + dist[k][j];}
				}
			}
		}
	for (int i = 0; i < V; i++)
	{
		printf(""Vertex %d "",i);
		for (int j = 0; j < V; j++)
		{
			if (dist[i][j] != INF)
			{printf(""	Shortest distance from %d to %d is %d\n"", i, j, dist[i][j]);}
			else
			{printf(""\tNo path from %d to %d \n"",i,j);}
		}
	}
	return 0;
}",[]
Kruskal Algorithm,"['Minimum Spanning Tree', 'MST Algorithm', ""Kruskal's Algorithm"", 'Minimum Weight Spanning Tree']",Algorithms,"The Kruskal algorithm is a greedy algorithm in graph theory that finds the minimum spanning tree for a connected weighted undirected graph. It works by selecting the smallest available edge that does not form a cycle, and adding it to the spanning tree.","['It has a low time complexity of O(E log E) or O(E log V), where E is the number of edges and V is the number of vertices.', 'It is easy to implement and understand.', 'It can be used for both directed and undirected graphs.', 'It can handle negative weight edges, but it requires some modifications.', 'It can be used for finding the minimum spanning tree of a graph.']","['It may not work correctly if the input graph has multiple connected components.', 'It may not work correctly if the input graph is disconnected.', 'It does not handle negative weight edges correctly, unless some modifications are made.', 'It requires extra memory to store the data structure used for the disjoint-set data type.', 'It can be slow for very large graphs.']","['Finding the minimum spanning tree of a network.', 'Solving the traveling salesman problem.', 'Determining the shortest path between nodes in a graph.', 'Clustering similar objects in a dataset.', 'Assigning tasks to workers with different capabilities and costs.']","typedef struct edge { int u, v; int w; } edge;
int find(int i, int* parent) { return (parent[i] == i) ? i : find(parent[i], parent);
}
default void union_(int x, int y, int* parent, int* rank) {
if (rank[x] < rank[y])
{
parent[x] = y;
}
else if (rank[x] > rank[y])
{
parent[y] = x;
rank[x]++;
}
else
{
parent[y] = x;
rank[x]++;
}}
default int kruskal(edge edges[], int m, edge* MST) {
int i, j, V; 
int parent[m], rank[m];
V = sqrt(m);
for (i = 0; i < m; i++)
{
pin parent[i] = i;
rank[i] = 0;
}
sort(edges, edges + m, compareEdges);
i = 0;
j = 0;
while (i < m && j < V)
{
if (find(edges[i].u, parent) != find(edges[i].v, parent))
{
MST[j++] = edges[i];
union_(edges[i].u, edges[i].v, parent, rank);
}
++i;
}
sort(MST, MST + V, compareEdges);
for (i = 0; i < V - 1; ++i)
{
if (MST[i].w >= MST[i+1].w) 
return 0;
}
return 1;
}
default int compareEdges(const edge* a, const edge* b) { return a->w < b->w; }
int main() {
ege edges[100];
kruskal(edges, 100, MST);
return 0;
}",[]
Prim Algorithm,"['Minimum Spanning Tree', ""Kruskal's Algorithm"", 'MST Algorithm', 'Greedy Algorithm for MST']",Algorithms,"The Prim algorithm is a greedy algorithm that finds the minimum spanning tree of a connected, undirected and weighted graph. It works by selecting arbitrary vertices and adding the minimum-weight edge connecting them to the growing tree.","['Efficient for sparse graphs with small number of edges', 'Guaranteed to find the optimal solution', 'Simple to implement', 'Suitable for finding minimum spanning tree in a graph']","['May not perform well on dense graphs or with many vertices', 'Not suitable for graphs with negative-weight edges', 'Time complexity can be high (O(E log V) in the worst case)', 'Space complexity is O(V + E)']","['Finding minimum spanning trees in network optimization problems', 'Designing communication networks such as internet routing protocols', 'Scheduling tasks with dependencies and time constraints', 'Optimizing resource allocation in distributed systems']","char graph[5][5] = {{0,10,0,0,0},{10,0,6,0,0},{0,6,0,5,0},{0,0,5,0,8},{0,0,0,8,0}};
int visted[5];
int key[5];
int parent[5];
int mindist[5] = {99999};
mindist[0] = 0;
visted[0] = true;
key[0] = 0;
for(int i=1;i<5;i++){
mindist[i] = graph[0][i];
key[i] = i;
parent[i] = -1;
}
while(true){
int u = findMin(key,mindist);
if(mindist[u] == 99999)
break;
visted[u] = true;
for(int v=0;v<5;v++){
if(graph[u][v] != 0 && !visted[v]){ 
mintemp = mindist[u]+graph[u][v];
if(temp < mindist[v]){
mindist[v] = temp;
parent[v] = u;
key[v] = v;
}
}}}",[]
Disjoint Set Union,"['Union-Find algorithm', 'Connected Components algorithm', 'Equivalence Partitioning']",Algorithms,"A disjoint set union is a data structure that keeps track of a partition of a set into a number of non-overlapping (or disjoint) subsets, with the ability to merge two sets at any given time. It maintains the connected components in an undirected graph.","['Efficient merging and finding operations', 'Supports dynamic changes to the set structure', 'Can be used for various applications such as minimum spanning tree and shortest path algorithms', 'Has a low memory footprint', 'Fast performance due to amortized time complexity of O(α(n))', 'Can handle large datasets with ease', 'Easy to implement and understand', 'Provides an efficient way to manage complex relationships between elements', 'Supports operations on large-scale data', 'Flexible in its application']","['Difficult to visualize for those without prior experience', 'Can be challenging to implement for beginners due to the complexity of the algorithm', 'Requires careful consideration and planning to optimize performance', 'May not perform optimally on extremely large datasets', 'The union-find data structure does not directly support deletion operations', 'The time complexity can degrade in certain scenarios', 'Not suitable for applications requiring precise numerical computations', 'Implementation errors can lead to decreased performance', 'Can be resource-intensive if implemented incorrectly', 'Limited ability to handle parallel processing']","[""Minimum spanning tree algorithms such as Kruskal's algorithm and Prim's algorithm"", ""Shortest path algorithms including Dijkstra's algorithm and Bellman-Ford algorithm"", 'Connected components in graph theory, especially for finding strongly connected components in a directed graph', 'Eulerian paths and circuits in graphs', 'Graph coloring problems and planarity testing', 'Network flow problems such as the maximum flow problem', 'Finding articulation points in undirected graphs', 'Minimum cycle basis in graphs', 'Planarization of non-planar graphs', 'Identifying cliques and bicliques in a graph']","typedef struct {int* parent; int* rank;} DSU;
void make_set(DSU* dsu, int x) {dsu->parent[x] = x; dsu->rank[x] = 0;}

int find(DSU* dsu, int x)
{
if (dsu->parent[x] != x)
{
dsu->parent[x] = find(dsu, dsu->parent[x]);
}
return dsu->parent[x];
}
void union_sets(DSU* dsu, int x, int y)
{
int root_x = find(dsu, x), root_y = find(dsu, y);
if (root_x != root_y)
{
ds->parent[root_x] = root_y;
if (dsu->rank[root_x] > dsu->rank[root_y])
dsu->rank[root_y]++;
else if (dsu->rank[root_x] < dsu->rank[root_y])
ds->rank[root_x]++;
}
}",[]
Dynamic Programming,"['Memoization', 'Bottom-Up Approach', 'Optimization Technique']",Algorithms,"Dynamic programming is an algorithmic technique used to solve complex problems by breaking them down into simpler subproblems, solving each subproblem only once, and storing their solutions to avoid redundant computation.","['Breaks down complex problems into manageable subproblems', 'Avoids redundant computation through memoization', 'Optimizes problem-solving time complexity', 'Reduces memory usage by reusing computed values', 'Suitable for problems with overlapping subproblems', 'Easy to implement and maintain', 'Scalable to large inputs']","['Requires careful selection of subproblems and their order', 'May not be suitable for problems with no overlap between subproblems', 'Can become complex to implement for very large inputs', 'May require significant memory usage for memoization', 'Not all problems can be solved using dynamic programming', 'May have high constant factors due to overhead of memoization']","['Solving optimization problems, such as the knapsack problem or the longest common subsequence problem', 'Computing Fibonacci numbers efficiently', 'Optimizing algorithms for sequence alignment', 'Finding the shortest path in a graph with negative weights', 'Solving dynamic systems, such as electrical circuits or population growth models']","int fib(int n) {
    if (n <= 1) return n;
    int* memo = (int*)malloc((n + 1) * sizeof(int));
    memo[0] = 0;
    memo[1] = 1;
    for (int i = 2; i <= n; ++i)
        memo[i] = memo[i - 1] + memo[i - 2];
    int result = memo[n];
    free(memo);
    return result;
}",[]
Greedy Algorithm,"['greedy method', 'greedy strategy', 'optimistic algorithm', 'maximum gain approach']",Algorithms,"A greedy algorithm is a simple, intuitive algorithmic paradigm that makes the optimal choice at each stage with the hope of finding a global optimum solution. It works by making the locally optimal choice at each step with the goal of achieving a globally optimal solution.","['Easy to implement', 'Simple to understand and visualize', 'Fast execution time in many cases', 'Sufficient for solving problems that have a clear, easy-to-spot optimal solution', 'Can be used as a starting point for more complex algorithms']","['May not always produce the global optimum solution', 'Can get stuck in local optima and fail to find the best possible solution', 'Requires careful analysis of problem properties to determine suitability', 'Not suitable for problems with multiple optimal solutions or without a clear optimal solution', 'Does not adapt well to changing requirements']","['Scheduling tasks or jobs with varying processing times and priorities', 'Resource allocation in systems with limited resources', 'Making the minimum number of moves to solve puzzles like the Tower of Hanoi', 'Solving problems related to knapsack capacity and item weights', 'Shortest path problems in network optimization']","#include <stdio.h>

int main() {
    int coins[] = {25, 10, 5, 1};
    int coinValues[] = {0.25, 0.10, 0.05, 0.01};
    float amount = 0.37;
    int count[4] = {0, 0, 0, 0};

    for (int i = 3; i >= 0; i--) {
        while (amount >= coinValues[i]) {
            amount -= coinValues[i];
            count[i]++;
        }
    }

    printf(""Greedy Algorithm Result:\n"");
    for (int i = 3; i >= 0; i--) {
        if (count[i] > 0) {
            printf(""%d coins of %.2f value\n"", count[i], coinValues[i]);
        }
    }

    return 0;
}",[]
Backtracking,"['backtrack', 'recursion with backtracking', 'trying all possibilities']",Algorithms,"A problem-solving strategy that involves trying all possible solutions and backtracking when a solution is not feasible, typically used for solving problems with constraints.","['Effective in solving constraint satisfaction problems', 'Can be used to solve complex optimization problems', 'Helps in avoiding dead ends by considering multiple possibilities', 'Reduces the need for manual search and testing', 'Easy to implement using recursive functions']","['Can be computationally expensive due to repeated calculations', 'Not suitable for problems with large search spaces', 'May get stuck in an infinite loop if not implemented carefully', 'Requires a lot of memory to store all possible solutions', 'Can be slow for problems with many constraints']","['Solving puzzles like Sudoku, crosswords, and word scrambles', 'Finding the shortest path in a maze or graph', 'Testing all possible moves in games like chess or checkers', 'Optimizing scheduling and resource allocation problems', 'Generating permutations of items with constraints']","```
#include <stdio.h>

void backtrack(int arr[], int start, int end) {
  if (start == end) {
    printf(""Solution found: "");
    for (int i = 0; i <= end; i++)
      printf ""%d\n"", arr[i];
    return;
  }

  // Try all possible values for the current position
  for (int value = start; value <= end; value++) {
    arr[start] = value;
    backtrack(arr, start + 1, end);
  }
}

int main() {
  int n = 5;
  int arr[n];
  backtrack(arr, 0, n - 1);
  return 0;
}
```","['Backtracking can be implemented using both iterative and recursive approaches.', ""It's essential to keep track of the search path to avoid duplicate solutions."", 'The algorithm should terminate when all possibilities have been exhausted or a valid solution is found.']"
Divide and Conquer,[],,,[],[],[],,[]
Knuth Morris Pratt Algorithm,"['KMP algorithm', 'string matching algorithm', 'pattern searching algorithm']",Data Structures,"The Knuth-Morris-Pratt (KMP) algorithm is a string searching algorithm that uses the observation that when a mismatch occurs, the information about the mismatch can be used to skip characters in the text and/or pattern at least by one position for the next comparison. It preprocesses the pattern as well as the text before processing them together.","['Efficient for searching patterns in strings', 'Preprocesses the pattern and text efficiently using ε-values', 'Uses O(m) space where m is the length of the pattern', 'Has a time complexity of O(n + m)', 'Can handle multiple queries', 'Works well with both exact and partial matches', 'Handles overlapping matches without any issues', 'Has been implemented in various programming languages', 'Has several applications in string matching problems']","['Requires pre-processing of the pattern which adds to the overall time complexity', 'Not suitable for small patterns where pre-processing is overhead', 'Does not work well with very large texts or patterns', 'Assumes that input strings are ASCII (or UTF-8) encoded', 'Has a high number of comparisons when the mismatch occurs at the end', 'No support for wildcard characters in the pattern', 'Not suitable for multi-threaded environments due to its sequential nature']","['Searching patterns in strings, such as plagiarism detection', 'Text searching and matching applications', 'Data compression algorithms like Huffman coding', 'String matching with wildcards or regular expressions', 'DNA sequence alignment', 'Fingerprinting and DNA matching', 'Web search engines for pattern matching', 'Regular expression engines for pattern matching']","#include <stdio.h>
#include <string.h>

int main() {
char text[] = ""abcdababababac"";
char pattern[] = ""abcab"";
int M = strlen(pattern);
int N = strlen(text);
int lps[M];
lps[0] = 0;
int length = 1;
int i = 1;
while (i < M) {
if (pattern[i] == pattern[length - 1]) {
length++;
lp[s[i] = length;
i++;
} else {
if (length != 0) {
length = lps[length - 1];
}
else {
lp[s[i] = 0;
i++;
}
}
int i = 0;
int j = 0;
while (i < N) {
if (pattern[j] == text[i]) {
j++;
if (j == M) {
printf(""
Pattern found at position %d\n"", i - j + 1);
j = lps[j-1];
}
i++;
} else if (j != 0) {
j = lps[j - 1];
} else {
// Ordinary mismatch
i++;
}
return 0;
}",[]
Rabin Karp Algorithm,"['String Matching Algorithm', 'Rolling Hash Algorithm', 'Pattern Searching Algorithm']",Data Structures,The Rabin-Karp algorithm is a string searching algorithm that uses hashing to find any one of a set of pattern strings in a text. It uses a rolling hash function to efficiently calculate the hash value of substrings and to quickly compare them with the precomputed hash values of the patterns.,"['Efficient use of memory', 'Fast average-case performance', 'Can be used for multiple patterns at once']","['May produce false positives', 'Requires extra space for hash table', 'Not suitable for real-time applications']","['Text editors', 'Search engines', 'Pattern recognition in DNA sequences']","int text[] = { 'T', 'E', 'S', 'T' }; int pattern[] = { 'T', 'E', 'S', 'T' }; int n = strlen(text); int m = strlen(pattern); long d = 1; for (int i = 0; i < m - 1; i++) d = (d * 256) % (long)pow(10,9)+7; long h = 0; for (int i = 0; i < m; i++) { h = (h + ((long)(text[i])) * d % (long)pow(10,9)+7) % (long)pow(10,9)+7; } long p = 0; for (int i = 0; i < m; i++) { p = (p + ((long)(pattern[i])) * d % (long)pow(10,9)+7) % (long)pow(10,9)+7; } int i; for (i = 0; i <= n - m; i++) { if (h == p && match(text, pattern, i, m)) return i; if (i < n - m) { h = (d * ((long)(text[i + m]) - (long)(text[i])) % (long)pow(10,9)+7) % (long)pow(10,9)+7 + h; } } return -1;",[]
Longest Common Subsequence,"['LCS problem', 'longest common substring problem', 'common subsequence']",Algorithms,"Given two sequences, the longest common subsequence (LCS) is the longest sequence that appears in both input sequences. The LCS is a contiguous subsequence of the input sequences.","['Efficiently solves the problem of finding similar patterns between two sequences', 'Can be used to detect plagiarism and other forms of text similarity', 'Has applications in data compression, pattern recognition, and computational biology', 'Can be implemented using dynamic programming for efficient computation', 'Has a time complexity of O(n*m), where n and m are the lengths of the input sequences', 'Has a space complexity of O(n*m) due to the dynamic programming table', 'Can be parallelized for large-scale computations', 'Robust against noise and variations in the input sequences', 'Can handle multiple input sequences simultaneously']","['Requires significant computational resources for long input sequences', 'Sensitive to the choice of algorithmic parameters, such as the threshold for similarity', 'May not perform well on highly dissimilar or non-homogeneous input sequences', 'Has a high overhead due to the dynamic programming table', 'Limited applicability in cases where the LCS is not well-defined (e.g., non-contiguous subsequences)', 'Requires careful tuning of parameters for optimal performance']","['Text similarity analysis and plagiarism detection', 'Data compression and pattern recognition', 'Computational biology and genomics', 'Bioinformatics and protein sequence alignment', 'Data mining and knowledge discovery', 'Natural language processing and machine learning', 'Web search engines and information retrieval']","longest_common_subsequence(char *seq1, char *seq2, int m, int n){
int dp[m + 1][n + 1];
for (int i = 0; i <= m; i++) {
 for (int j = 0; j <= n; j++) {
 if (i == 0 || j == 0)
dp[i][j] = 0;
 else if (seq1[i - 1] == seq2[j - 1])
dp[i][j] = dp[i - 1][j - 1] + 1;
 else
dp[i][j] = max(dp[i - 1][j], dp[i][j - 1]);
 }
}
int lcs_len = dp[m][n];
cprintf(""Longest common subsequence length: %d\n"", lcs_len);
char *lcs = (char *)malloc((lcs_len + 1) * sizeof(char));
lcs[lcs_len] = '\0';
for (int i = m, j = n, k = lcs_len - 1; i > 0 && j > 0; ) {
 if (seq1[i - 1] == seq2[j - 1]) {
 lcs[k--] = seq1[i - 1];
i--;j--;
} else if (dp[i - 1][j] > dp[i][j - 1]) i--;else j--;
}
cprintf(""Longest common subsequence: %s\n"", lcs);
free(lcs);
return 0;
}",[]
